StoreID,name,address,latitude,longitude,hours,runtime
316,Bayswater,705 Mountain Highway<br>Bayswater VIC 3153,-37.8410224,145.2646833,"['Monday: 09:00:00 to 17:00:00', 'Tuesday: 09:00:00 to 17:00:00', 'Wednesday: 09:00:00 to 17:00:00', 'Thursday: 09:00:00 to 17:00:00', 'Friday: 09:00:00 to 17:00:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
413,Beaconsfield,Shop 7 Unit 2 Beaconsfield-Emerald Road<br>Beaconsfield VIC 3807,-38.0436621,145.3677176,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8760,Beenleigh,61 Alamein Street<br>Beenleigh QLD 4207,-27.714235,153.2010757,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8843,Bega,88 Gipps Street<br>Bega NSW 2550,-36.6746799,149.8435276,"['Monday: 09:00:00 to 17:00:00', 'Tuesday: 09:00:00 to 17:00:00', 'Wednesday: 09:00:00 to 17:00:00', 'Thursday: 09:00:00 to 17:00:00', 'Friday: 09:00:00 to 17:00:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8607,Belconnen,Units 3&4/38-40 Weedon Close<br>Belconnen ACT 2617,-35.2418099,149.0608735,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
5426,Bellarine Highway,2/509 Bellarine Highway Road<br>Moolap VIC 3224,-38.18117834,144.4393329,"['Monday: 00:00:00 to 17:30:00', 'Tuesday: 00:00:00 to 17:30:00', 'Wednesday: 00:00:00 to 17:30:00', 'Thursday: 00:00:00 to 17:30:00', 'Friday: 00:00:00 to 17:30:00', 'Saturday: 00:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
752,Bellerive,15 Percy Street<br>Bellerive TAS 7108,-42.875758,147.369025,"['Monday: 09:00:00 to 17:00:00', 'Tuesday: 09:00:00 to 17:00:00', 'Wednesday: 09:00:00 to 17:00:00', 'Thursday: 09:00:00 to 17:00:00', 'Friday: 09:00:00 to 17:00:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
652,Belmont,10/199 Abernethy Road<br>Belmont WA 6104,-31.9566135,115.9302616,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 19:00:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8633,Belmont North,4/356 Pacific Highway<br>Belmont North NSW 2280,-33.0213563,151.6637653,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:30:00', 'Sunday: Closed']",2025-10-19 15:40:22
325,Benalla,05/09/24 Bridge Street<br>Benalla VIC 3672,-36.5517537,145.9803074,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
