company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
TDM GYM LICHFIELD LTD,16599834,Active,Private limited company,,,2025-07-22,,,93130,8a Bore Street Lichfield WS13 6LL England
TDM GYM FRADLEY LTD,16599900,Active,Private limited company,,,2025-07-22,,,93130,8a Bore Street Lichfield WS13 6LL England
TDM GYM WALSALL WOOD LTD,16600099,Active,Private limited company,,,2025-07-22,,,93130,8a Bore Street Lichfield WS13 6LL England
ACTORS GYM LTD,16602794,Active,Private limited company,,,2025-07-23,,,85590,85 Great Portland Street London W1W 7LT England
3ROTHERS GYM LIMITED,16623120,Active,Private limited company,,,2025-08-01,,,93130,Unit 5 92 Chorlton Road Manchester M15 4AL United Kingdom
LIFT GYM MK LTD,16668878,Active,Private limited company,,,2025-08-23,,,93130,1 Kirkham Court Loughton Milton Keynes MK5 8BN England
FORTIOR GYM LIMITED,16683939,Active,Private limited company,,,2025-09-01,,,47910,4 Newquay Road London SE6 2NS England
SALT GYM LOANHEAD LTD.,SC861406,Active,Private limited company,,,2025-09-02,,,93130,2/3 Ferry Gait Drive Edinburgh EH4 4GJ Scotland
GYM LUX LTD,16638660,Active,Private limited company,,,2025-08-08,,,46160 46420 47710,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
FOUNDRY GYM LEEDS LTD,16641474,Active,Private limited company,,,2025-08-11,,,93130,10 Chatsworth Avenue Birmingham B43 6QN England
ELITE PHYSIQUES GYM LTD,16691902,Active,Private limited company,,,2025-09-03,,,93130,4 Foxglove Close Lowestoft NR33 7DY England
FATS GYM LTD,16401933,Active,Private limited by guarantee without share capital,,,2025-04-23,,,86900 93130,32 Milton Grove Manchester M16 0BP England
JACKED GYM LTD,16348133,Active,Private limited company,,,2025-03-27,,,93130,Unit 4 Premier Business Park Huntspill Road Highbridge TA9 3DE England
GYM FITNESS STORE LTD,16348350,Active,Private limited company,,,2025-03-27,,,47910,2-3 Sheldon House Sheep Street Shipston-On-Stour CV36 4AF United Kingdom
GYM PANDA LTD,16417690,Active,Private limited company,,,2025-04-29,,,14190 46420 47910,79 Jervoise Road Birmingham B29 5QT England
MARINE HOUSE GYM LTD,16417083,Active,Private limited company,,,2025-04-29,,,93130,9-10 Station Road Sunderland SR6 9AA England
CARGILL'S GYM MONTROSE LTD,SC848410,Active,Private limited company,,,2025-05-13,,,93130,3 Strathview Dundee Road Forfar DD8 1XA United Kingdom
RALL'S GYM LTD,16458399,Active,Private limited company,,,2025-05-19,,,93130,21 Hla Accountants 21 Hyde Park Road Leeds LS6 1PY England
ARIF GYM LTD,16455127,Active,Private limited company,,,2025-05-17,,,86900,"3rd Floor, 86-90 Paul Street London EC2A 4NE United Kingdom"
FORGE GYM STUDIO LTD,16183602,Active,Private limited company,,,2025-01-14,,,93130,38 High Street Bovingdon Hemel Hempstead HP3 0HJ England
THE GYM PHYSIO LTD,16475354,Active,Private limited company,,,2025-05-27,,,86900 96040,5 Hartford Killingworth Newcastle Upon Tyne NE12 5BR United Kingdom
